画像番号,傾斜角度,初速,センサ時間,ホップ回転数,検出状態
,°,m/sec,usec,rps,
P1110951,  0.172,  41.30, 290.55, 200.9,
P1110952,  0.276,  40.82, 293.94, 205.9,Err1
P1110954,  0.138,  41.28, 290.69, 211.8,
P1110955,  0.172,  40.92, 293.28, 196.7,
