画像番号,傾斜角度,初速,センサ時間,ホップ回転数,検出状態
,°,m/sec,usec,rps,
P1120381, -0.473,  76.67, 156.52,  54.8,Err1
P1120382, -0.406,  76.14, 157.61,  64.3,Err1
P1120383, -0.405,  76.31, 157.25,  53.6,Err1
P1120384, -0.405,  76.23, 157.42,  56.3,
P1120385, -0.371,  76.03, 157.84,  61.5,Err2
P1120387, -0.439,  75.96, 157.97,  69.5,Err1
P1120388, -0.439,  75.70, 158.52,  78.6,
P1120389, -0.439,  75.78, 158.36,  79.9,
P1120390, -0.439,  75.88, 158.14,  72.7,Err1
P1120391, -0.372,  75.96, 157.98,  71.0,Err4
P1120392, -0.440,  75.98, 157.94, 128.2,
P1120393, -0.440,  75.93, 158.03, 121.6,
P1120394, -0.406,  75.68, 158.56, 129.2,
P1120395, -0.439,  75.63, 158.67, 136.1,
P1120396, -0.474,  75.38, 159.20, 161.2,
P1120397, -0.507,  75.28, 159.41, 160.2,
P1120398, -0.474,  75.78, 158.36, 164.9,
P1120399, -0.541,  75.42, 159.11, 165.8,Err1
P1120400, -0.439,  73.35, 163.61, ---  ,error
P1120401, -0.507,  74.85, 160.31, 205.3,
P1120402, -0.440,  75.11, 159.77, 191.8,
P1120403, -0.507,  75.06, 159.87, 199.8,
P1120404, -0.473,  75.21, 159.56, 190.5,Err1
P1120405, -0.406,  74.44, 161.20, 219.2,Err5
P1120406, -0.440,  74.67, 160.70, 210.1,
P1120407, -0.372,  75.25, 159.47, 216.5,
P1120408, -0.473,  74.87, 160.27, 208.7,Err1
