画像番号,傾斜角度,初速,センサ時間,ホップ回転数,検出状態
,°,m/sec,usec,rps,
P1120003, -0.411,  57.10, 210.17, 315.5,
P1120004, -0.308,  57.49, 208.75, 335.7,
P1120005, -0.410,  57.27, 209.53, 333.6,Err1
P1120006, -0.309,  56.52, 212.30, 324.8,Err2
